user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
AndrewMordon,5.453504374964916e+18,0.0,0.0,1.0,0.0,5.453504374964916e+18,0.0,0.0,0.0,4,4,0.0,AndrewMordon
Andykimpro2021,1.4378518541304627e+18,0.0,0.0,0.0,0.0,1.4378518541304627e+18,0.0,0.0,0.0,1,1,0.0,Andykimpro2021
AngelAlgoCo,1.4339135381546926e+18,0.0,0.0,0.0,0.0,1.4339135381546926e+18,0.0,0.0,0.0,1,1,0.0,AngelAlgoCo
AngelListBets,1.4002494185704038e+18,0.0,0.0,0.0,0.0,1.4002494185704038e+18,0.0,0.0,0.0,1,1,0.0,AngelListBets
Angelini21J,1.412851345162449e+18,0.0,0.0,2.0,0.0,1.412851345162449e+18,0.0,0.0,0.0,1,1,0.0,Angelini21J
Angelramirezllc,1.3867614254276526e+18,0.0,0.0,0.0,0.0,1.3867614254276526e+18,0.0,0.0,0.0,1,1,0.0,Angelramirezllc
AngieMiles,1.4283880641965466e+18,0.0,1.0,1.0,0.0,1.4283880641965466e+18,0.0,0.0,0.0,1,1,0.0,AngieMiles
AnimoCraka,1.3654039280078316e+18,0.0,0.0,0.0,0.0,1.3654039280078316e+18,0.0,0.0,0.0,1,1,0.0,AnimoCraka
Ankerstar,9.84684816386886e+18,0.0,2.0,4.0,0.0,9.84684816386886e+18,0.0,0.0,1.0,7,7,14.285714285714285,Ankerstar
AnonBlueCC,1.377622534523392e+18,0.0,0.0,0.0,0.0,1.377622534523392e+18,0.0,0.0,0.0,1,1,0.0,AnonBlueCC
AnthonyCrofts9,1.419715650180821e+18,0.0,0.0,1.0,0.0,1.4197064514932818e+18,0.0,1.4197064514932818e+18,0.0,1,1,0.0,AnthonyCrofts9
AnthonyTrades24,6.84434893280537e+18,3.0,1.0,6.0,1.0,6.844348668564222e+18,0.0,1.369010119250489e+18,2.0,5,5,40.0,AnthonyTrades24
AntonyCoe,1.4121224416697713e+18,0.0,0.0,0.0,0.0,1.4120734455385047e+18,0.0,1.4120734455385047e+18,1.0,1,1,100.0,AntonyCoe
ApadanaForex,1.3635101086054769e+18,0.0,0.0,0.0,0.0,1.3635101086054769e+18,0.0,0.0,0.0,1,1,0.0,ApadanaForex
AppleMaven,1.3830032901122908e+18,1.0,2.0,7.0,1.0,1.3830032901122908e+18,0.0,0.0,0.0,1,1,0.0,AppleMaven
AppleProNews,1.4259358393363317e+19,0.0,0.0,0.0,0.0,1.4259358393363317e+19,0.0,0.0,1.0,10,10,10.0,AppleProNews
